dataset,distribution,study,version
hgen,v29,soep-long,v29
pequiv,v29,soep-long,v29
ppfad,v29,soep-long,v29
pbrutto,v29,soep-long,v29
hl,v29,soep-long,v29
pbr_exit,v29,soep-long,v29
kidl,v29,soep-long,v29
pkal,v29,soep-long,v29
bio,v29,soep-long,v29
pl,v29,soep-long,v29
ppfadl,v29,soep-long,v29
hbrutto,v29,soep-long,v29
hpfadl,v29,soep-long,v29
pgen,v29,soep-long,v29
csamp,v29,soep-long,v29
de,v29,soep-long,v29
hpfad,v29,soep-long,v29
hgen,v30,soep-long,v30
pequiv,v30,soep-long,v30
ppfad,v30,soep-long,v30
pbrutto,v30,soep-long,v30
jugendl,v30,soep-long,v30
hl,v30,soep-long,v30
pl2,v30,soep-long,v30
pbr_exit,v30,soep-long,v30
kidl,v30,soep-long,v30
pkal,v30,soep-long,v30
bio,v30,soep-long,v30
pl,v30,soep-long,v30
ppfadl,v30,soep-long,v30
hbrutto,v30,soep-long,v30
hpfadl,v30,soep-long,v30
pgen,v30,soep-long,v30
csamp,v30,soep-long,v30
de,v30,soep-long,v30
hpfad,v30,soep-long,v30
